FID,huc12num,areasqkm,Area,LATITUDE,LONGITUDE,pt30m,pt1h,pt2h,pt3h,pt6h,pt12h,pt24h,pt2d,pt3d,wp30m,wp1h,wp2h,wp3h,wp6h,wp12h,wp24h,wp2d,wp3d,WIPMP30m,WIPMP1h,WIPMP2h,WIPMP3h,WIPMP6h,WIPMP12h,WIPMP24h,WNPMP30m,WNPMP1h,WNPMP2h,WNPMP3h,WNPMP6h,WNPMP12h,WNPMP24h,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
19,1.025E+11,81.94,31.9566,39.8167,-101.1333,30.28796569,47.79787224,49.37070815,66.66549207,92.00335975,99.00344683,141.8680656,166.9636254,176.5284137,32.09166282,41.28737402,50.48308522,69.31471762,94.25842235,102.0089994,147.4102908,176.0073008,187.2932858,25.65092724,38.50922917,47.14241255,62.44838696,89.16780902,94.65377078,136.8139171,13.80364601,23.44934148,29.53604322,41.81699642,63.69311354,73.0385586,113.4122459,27.17848126,41.90183777,48.20458364,64.93002862,91.35337041,97.52727562,142.1586967
20,1.025E+11,146.84,57.2676,40.1306,-99.8278,27.9514626,33.36973172,38.78800083,49.06353046,79.51869904,121.0454533,221.4294699,334.7064535,353.6278485,28.55698032,34.29627525,40.03557018,52.00305447,85.60361516,128.0727649,235.7502262,348.2677849,365.62642,27.37872683,33.01728331,36.90543563,44.78112959,71.11263721,112.5135705,206.898254,14.20479418,24.73947029,23.33819535,30.56617919,53.37194427,89.14980413,175.7299311,27.97183727,44.21170064,38.09245454,47.4640838,76.55430612,119.0455624,220.2792167
21,1.025E+11,152.93,59.6427,39.3925,-101.0689,32.54335346,46.14710579,53.52462308,69.78785178,95.53541548,116.9575217,146.0285919,179.4437291,199.1614573,35.44909062,54.60693467,59.15104077,76.55334072,106.4652137,128.8370703,153.2394391,185.480194,207.8323216,30.87060035,33.31545281,49.02911924,57.98175068,73.46976347,85.98048813,119.0695064,17.07661555,22.05983237,33.19641329,40.9592204,57.08149836,70.92833488,99.67940087,33.62698041,39.42294374,54.18297718,63.60271311,81.87512483,94.71365358,124.9491222
22,1.025E+11,144.71,56.4369,39.4,-101.05,33.07521319,40.71687028,53.76038191,65.43559337,79.07895627,92.41403562,124.2262076,156.4278003,173.4035917,34.62896535,52.88379985,55.22069189,71.41067924,91.22499646,112.9305594,146.0798133,176.3354037,197.2255959,32.11818588,30.35294156,52.75010954,58.28093664,70.97396182,77.50666429,106.2566774,17.07661689,22.05983378,33.19641499,40.95922224,57.08150037,70.92833681,99.67940292,33.62698041,39.42294374,54.18297718,63.60271311,81.87512483,94.71365358,124.9491222
23,1.025E+11,134.14,52.3146,39.9167,-98.7,33.65601817,47.71161946,48.33258028,60.96158285,78.10248141,97.98518687,155.1451545,200.867832,226.5602092,36.21381685,42.93767882,49.66154078,62.18407297,81.46961928,103.2600425,165.6823952,210.3136556,232.3055577,30.20648621,37.29664505,44.98494229,58.55473427,74.70971328,90.44373328,143.3608953,16.50539286,23.81760168,28.31886081,38.46458711,54.33146121,71.37688399,122.135272,32.50212648,42.56422601,46.22185559,59.72895877,77.93058284,95.31260837,153.0977657
24,1.025E+11,133.8,52.182,39.8775,-98.3036,32.4485735,42.47581316,48.50408175,58.48502405,73.10956687,85.17337821,107.8443402,156.5441858,195.0547834,34.20771399,44.89842689,49.9148842,61.12331753,77.3559847,95.03986558,144.0037854,189.2123542,222.2153884,28.93878049,36.20791415,45.33349132,53.16268387,62.5446263,69.76871908,68.72091346,15.49254498,21.41638783,28.58244357,35.78040713,46.13740605,58.30018358,73.20449136,30.50764393,38.27303741,46.65207314,55.56088349,66.17740143,77.85073015,91.76255013
25,1.025E+11,71.47,27.8733,39.5514,-97.6508,31.7412718,42.5964984,43.4884907,52.08361196,65.62157806,80.88527254,101.3815497,174.3310826,211.2130786,32.90165729,45.0405249,46.00943925,54.50240046,68.97214819,83.45336768,101.8130473,179.2292443,217.3427124,30.70130421,34.8911387,41.50281481,50.09071749,60.3953638,75.3440039,101.5008921,16.167238,25.38573039,26.90855734,33.76336576,44.26403484,58.22234256,81.3263869,31.82367096,45.35207055,43.90865735,52.41695499,63.47908882,77.7361646,101.9328976
26,1.025E+11,99.69,38.8791,39.8186,-97.6378,31.68847833,37.88817382,44.0878693,54.70397773,74.11675409,95.73497284,115.9804501,174.820665,215.1242201,33.46488066,39.6367116,45.80854253,57.53344001,78.99097574,102.9104809,123.1407551,180.6079051,236.2720603,31.13852989,40.44524975,44.55419958,54.12617233,76.15002107,96.62754403,114.4980517,16.69966598,28.94529997,28.36282146,36.65973078,56.58196482,77.78571045,96.98160856,32.88410304,51.72714614,46.29307287,56.92574869,81.15795869,103.8699519,121.5668376
27,1.025E+11,68.55,26.7345,39.5639,-97.2881,33.78691559,39.72340093,45.65988627,52.59957119,66.55408122,83.27207316,107.3796097,171.1498801,207.4615106,34.72463879,40.9096079,47.094577,54.78492357,68.6362479,88.11882588,110.4488139,181.1758367,215.7657335,32.49213434,41.73254879,44.86681206,52.30809357,66.01012086,80.29866984,103.9412501,16.96748346,29.82549478,28.36244002,35.09606799,47.47211437,63.64533079,85.3023789,33.39392214,53.27736893,46.27658341,54.48133594,68.07526956,84.97235913,106.9121765
28,1.026E+11,99.58,38.8362,38.8178,-102.3608,27.78723155,35.79974144,43.00687421,53.45969857,76.62811889,91.97079631,104.5916294,122.0943036,128.411926,28.77816411,37.39652435,45.98285934,56.31674797,80.92264795,109.9229147,123.2466178,131.5090995,139.635093,25.808695,35.24956893,37.90138237,49.63685523,70.69526226,75.21152938,86.42123208,13.57393389,20.60462783,24.82827967,33.67409213,52.04981412,67.31822151,81.24054414,26.72907011,36.82181239,40.52407822,52.28960022,74.65729164,89.89234475,101.835344
29,1.026E+11,133.45,52.0455,38.8972,-100.1136,29.22230679,36.94794968,42.00117941,50.53255271,76.91432527,111.4063613,155.7981035,169.3333198,182.84174,31.32062167,39.21269173,44.36040844,52.2688277,81.54256434,116.3709841,171.1675334,185.5871854,196.2606983,27.64255496,34.46064095,39.29776119,48.39238207,73.45797702,104.8720225,135.4446636,15.0455533,20.46505714,25.42905794,32.23477637,54.29496554,82.03545582,118.7116604,29.62743537,36.57292224,41.50513775,50.05512179,77.87823395,109.5454543,148.8062336
30,1.026E+11,121.04,47.2056,38.7978,-99.7231,29.54051648,35.52081437,46.69560918,57.43934473,86.08716205,126.0341918,233.865399,261.4273139,299.6935102,30.7387301,36.47157716,49.52216843,59.4586412,89.92160158,137.0637543,250.0537442,278.4797782,318.5977544,27.21013129,34.84290095,42.26881231,54.04566986,81.65460073,120.5903517,218.0248533,14.3784856,20.01887633,27.46454666,36.02822535,59.46343918,98.20966632,185.9712443,28.31382052,35.77551847,44.82741053,55.94566073,85.29160794,131.1435103,233.1167036
31,1.026E+11,108.71,42.3969,38.65,-98.6667,30.68115237,37.12223852,43.56332467,50.8581918,72.96767379,95.06553909,147.2749147,254.4886423,259.7923415,32.84347137,39.29615006,45.74882874,54.69367737,81.53623904,107.5956592,166.6909272,291.5123643,300.7069013,28.1723897,35.88458881,39.88389614,45.84563911,64.53601642,81.6713818,124.1555476,15.31503246,23.62525439,25.66177788,31.75060063,50.27673028,69.22288943,112.1043036,30.15789835,42.22026605,41.88480902,49.30310154,72.11445546,92.43608406,140.5236146
32,1.026E+11,154.4,60.216,38.9722,-97.0239,33.39322651,45.70437724,48.23194558,60.63880468,95.54033393,117.6999057,145.2826694,214.2154321,249.4952917,37.11086547,44.61531623,52.11976698,63.92170544,101.244216,126.6146012,160.4395829,234.965243,262.2752379,27.08978839,36.67317741,41.7989761,55.41673052,83.82849369,101.2434291,125.9469484,15.28840711,20.03216433,27.67334288,37.61964209,61.93248656,81.56084114,110.957732,30.10567105,35.79931521,45.1682566,58.41691543,88.83316368,108.9116964,139.086623
