FID,huc12num,Area,S_N,GAUGE_NAME,SITE_ID,LATITUDE,LONGITUDE,GageH,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
59,102901010702,39.9165,608,BALDWIN,14-0496,38.7667,-95.2,1020,31.71440286,37.37361692,45.1434799,61.49245763,111.0463642,183.3535374,222.0812393
60,102901020505,15.5727,816,BUTLER 4W,23-1145,38.2611,-94.405,790,43.45223321,60.72331804,65.17607102,85.89881883,149.2091932,172.7319662,215.0359887
61,102901020601,49.3389,526,AMSTERDAM,23-0151,38.35,-94.5833,860,41.58294413,62.7687467,63.64600579,81.70851592,153.0482154,181.6266949,218.9030951
62,103001011009,36.504,868,CARROLLTON,23-1340,39.3594,-93.4886,705,36.25517029,49.18265535,58.19568623,84.51471393,114.437095,135.2261578,172.7866981
63,110300010506,56.1717,1106,DEERFIELD 10 NNW,14-2040,38.1167,-101.2,3217,31.28676102,37.40736529,56.83020661,71.16568543,90.21942163,118.3918629,150.339526
64,110300030302,64.5957,947,CIMARRON,14-1522,37.8131,-100.3456,2690,30.94222457,38.15391098,43.68022871,53.57695121,82.99630432,147.8013547,199.4131472
65,110300050502,53.8044,625,BAZINE 13 SSW,14-0620,38.2661,-99.7514,2184,28.04545193,37.78850648,39.10751359,49.31830389,83.47357424,124.0364822,196.8485475
66,110300050701,50.4309,801,BURDETT 1 NW,14-1141,38.2006,-99.5344,2104,31.59654923,43.67639632,47.58482156,56.1993181,67.88880727,86.33231707,143.6257237
67,110300080108,57.1779,485,ALEXANDER,14-0135,38.4694,-99.5519,2070,27.50080216,33.87762261,43.72688451,52.81978462,74.23844799,95.84080665,162.3393843
68,110300080205,48.2352,698,BISON 3NW,14-0865,38.5636,-99.235,2040,25.78975506,29.05381595,44.00711345,54.98217756,73.54529936,89.18794084,149.3018093
69,110300090102,54.7521,792,BUCKLIN,14-1104,37.5433,-99.6383,2410,30.6454239,35.93966863,42.88587589,54.69991984,92.24711991,151.5758462,195.1451008
70,110300110106,44.5185,949,CLAFLIN,14-1536,38.5214,-98.5358,1795,30.70988879,43.73692826,49.02790123,61.26539874,88.93300541,125.6116878,193.7484721
71,110300130201,56.3979,1024,CONWAY SPRINGS,14-1795,37.3842,-97.6431,1370,38.02477777,46.5284991,56.72588308,68.45681066,89.49912189,146.5256144,276.354562
72,110300140205,44.4873,561,ARLINGTON 5 W,14-0326,37.8967,-98.2711,1620,38.58659159,50.76703536,53.08671201,61.41220764,74.5836649,107.8424485,180.2092384
73,110300170203,46.5231,810,BURNS,14-1173,38.0917,-96.89,1500,29.00823762,48.75994125,44.48468968,59.00647542,92.46344199,173.7958904,222.1075372
